,Sentence,Entity,Sentiment
3036,Good knowledge of product from customer service rep gave me confidence to proceed.,service,positive
3037,Axa insurance handled my claim efficently and I have now been able to move on with my life.,claim,positive
3038,Great price easy to use website,price,positive
3039,Very simple process to renew my car insurance and good value,value,positive
3040,Phoned later with the amount which was wrong and asked him to add amount for ceiling and a breakdown of the claim.,breakdown,negative
3041,They have a very good clear set of instructions for the new buyer to follow everything went through very smoothly.,instructions,positive
3042,Already have car insurance with Axa so they came up trumps via Compare website with buildings and contents insurance.,website,positive
3043,Simple t use on line excellent value for money,value,positive
3044,I spoke to very helpful and polite advisers the both times I phoned to arrange my new policy.,advisers,positive
3045,Brilliant website- clear & simple to use - great added extras - very competitive prices,prices,positive
3046,I am single lady and found this insurance I went on Compare The Market and AXA was the cheapest it was easy to understand with the quotes and the add ons i paid in full and recieved my Motor Insurance straight away by e.mail.,quotes,positive
3047,Fast efficient service all questions answered clearly.,service,positive
3048,The insurance was urgently required and It was close to your closing time but your staff were absolutely brilliant !,insurance,positive
3049,the poor axa woman had to recite loads of sales rubbish for things you don't want.,woman,negative
3050,some \ additional options to insurance\  are confusingly worded and unreasonably (but intentionally?!),options,negative
3051,The process over the phone is very slow and the team seem to have to follow the script exactly even if I am already a customer I had to listen to the same general info.,process,negative
3052,Lies broken promises and ignorant staff.,staff,negative
3053,However the value of the service and cover arranged can only be judged after (hopefully never needed) a claim is made in terms of help available and ease of recouping and potential costs,service,positive
3054,Very easy application website very clear and navigation great,website,positive
3055,Will not insure a courtesy vehicle supplied by a main Mazda dealer for repairs on a vehicle with a special paint code not available to non Mazda dealers ????,vehicle,negative
3056,For once I don't feel as though I have paid the price for the bad drivers out there.,price,positive
3057,Exerlant expirianced English speaking staff put in quote online on go com pair and rang they rang me to amend what I wanted to make make it what I wanted and also beet my previous edit quote from my renewal from fast fit.,staff,positive
3058,Great customer service & great price,price,positive
3059,easy simple lady on the phone had a nice voice and was to the point,voice,positive
3060,i did a few quotations and they all differed yet the details did not change strange but i'm not happy,strange,negative
3061,Very bad experience,experience,negative
3062,Axa are a trusted insurance company with a good track record and throughout my experience with them I've always received very professional service.,company,positive
3063,easy to use website along with a helpful and pleasant telephone customer service.,website,positive
3064,Overall good although frustrating as I reported my accident immediately when I heard nothing I phoned and they had no record of it so I had to go through it all again.,record,negative
3065,Excellent service and easy system to use forprinting docs and ins cert,service,positive
3066,Great company great feedback good people 10/ 10,people,positive
3067,I purchased new car insurance on line paid by debit card and am a previous AXA client.On trying to log in/Register I made several attempts and in the end gave up.,client,negative
3068,helpful call centre staff and easy method of payment through website,website,positive
3069,Did not have any problems with applying for home insurance straight forward applcation,problems,positive
3070,Yes very happy with service I received from axa staff member who talked me through my purchase of car insurance,axa staff,positive
3071,Very pleasant people to deal withno problems,problems,positive
3072,i would recommend axa  i have used them before  luckily i have never had to claim the form was easy to fill in and the quotes very good .,claim,positive
3073,Does not allow you to type in the reg no online so quote is going to be more than the one you get shown more often than not when you get through to someone,quote,negative
3074,The interface is not usable from an iPad which must limit your customer base.,customer,negative
3075,Its a shame i cant remember the guy who helped me set up my car insurance as he was fantastic!,car insurance,positive
3076,But to charge so much for using a credit card to pay is disgusting!,card,negative
3077,They came back with the cheapest price significantly lower than my existing provider.,price,positive
3078,Customer service goals was spot on straight to the point understood every single word that was said,service,positive
3079,I found your telephone operators kind and polite one lady was more than willing to help me print my certificate and answered other queriesI would recommend Axa \nas good company to deal with,telephone operator,positive
3080,Clear website and had the choice to call if needed.,website,positive
3081,TOTALY ANOYING AND IRITATING  I still haven't got my account set up  I asked the wife to have a go and she couldn't master the challenge either !,account,negative
3082,on the day of fitting i had a phone call saying that they had a part missing so could not do it on the day arranged.,fitting,negative
3083,Excellent service purchased the policy on line but had a query phoned them and the member of staff was very friendly.,service,positive
3084,Once connected swift professional and sympathetic handling of problem and always solution focused.,solution,positive
3085,Marvelous - practically half my renewal quote from my existing insurer,quote,positive
3086,Phone call to arrange car insurance and very helpful and polite young man sorted this in a very short period of time so I am very pleased with the service,service,positive
3087,It appears to be an excellent policy and competitively priced but doesn't come into use until 16/09/2016 Very helpful  telephone sales person.,sales person,positive
3088,The impression given is that one can access online account straight after payment of premium.,payment,positive
3089,Excellent service with very quick response.,service,positive
3090,Easy quick and professional website easy to use with a trusted company,website,positive
3091,On first calling the Axa number to report my burglary I was made to feel that I had committed a crime.,number,negative
3092,Struggled with website a little.,website,negative
3093,The process of obtaining a quote was relatively straightforward and the product was to my satisfaction but having decided that I was going to insure with AXA I was unable to log back onto their web site.,web site,positive
3094,Had a little trouble with website probably my fault,trouble,negative
3095,Excellent value for money easy to use website hassle free,website,positive
3096,initially the service was great but once we had finalised payment we realised we needed to ammend the policy start date from 2 weeks from the day of purchase to 1 week from day of purchase so both daes were before any cover had started and online we were prompted that we couldnt change his but to call up and they could do i but once we called up they said no they cant and that we needed to do whole new policy paying twice in total and then cancel the first one leaving us nearly Â£200 down waiting on a refund for a week for the sake of anadministrative change very poor control over there own systems we still havent had confirmation of the refund,service,negative
3097,Very friendly and helpful service from the person on the other end of the phone.,service,positive
3098,Very helpful and keen to help price was 30% cheaper for the same if not better level of cover.,price,positive
3099,Really clear application process with excellent additional info.,process,positive
3100,My only experience so far is arranging car insurance through AXA Insuring the car on-line with AXA was easy and straightforward.,experience,positive
3101,Easy  to get a quote nice prices and options to choose not paying for things you do not need.,prices,positive
3102,As I am 86 and live 30 miles away I have to rely on her for any computer work.,miles,negative
3103,customer service team are very good too but didn't use them this time.,time,negative
3104,the representative was not clear that this would appear on my records as a claim at the start of the call (i am not satisfied that the reference to starting the claim process was sufficiently clear to explain that this would be a formal claim and not simply a way to look into the system).,claim process,negative
3105,had no problems and good price and would use axa again.,axa,positive
3106,Cannot understand how a car that cost £1000 can cost equally much per year for a +50 driver with no claim over 25 years?!,year,negative
3107,best price around and happy with service given and the online update of account is really easy and a good idea.,price,positive
3108,Although the quote was ideal I was surprised to see that axa didn't offer monthly terms on their policies.,policies,negative
3109,Great price & great website.,website,positive
3110,Very competitive quote and great attitude from the axa employee who was very helpful and informative!,axa,positive
3111,"well fair enough so far until, online it wouldn't let me purchase travel insurande because it said my age did not match my dob but it had never asked me for my age so i had no way to correct it.",travel,negative
3112,Craig who I spoke to to check I had completed the on line form vorrect had excellent oublic services.,services,positive
3113,Best quote simple process and good customer service.,process,positive
3114,The login is odd and long-winded.,login,negative
3115,Ben was very help full on renewal on my car insurance a very clear cut service more than pleased .,service,positive
3116,I tried few companies mainly out of curiosity but your company in my opinion was far superior.,company,positive
3117,Great service the only issue was the loading time of each page online quite frustrating,service,positive
3118,i have never used axa before but the whole process was pain free.,pain,negative
3119,After having two bad experiences with AXA customer services it was third time lucky.,customer services,positive
3120,She volunteered information about my prospective policy and offered help in an intelligent way.,information,positive
3121,going roundin circles trying to clear and reset passwords which are constantly rejected or not recognised 10 seconds after they have just been accepted.,seconds,negative
3122,Wasn't happy that I am paying an extra £5 per month simply because I wanted to policy to start on the date of application,date,negative
3123,Unfortunately none of the promotion material says if they have staff based in UK to deal with queries and claims.,deal,negative
3124,I found the AXA site on Compare The Market and although the base price was higher the clarity and logical form of the application process came as a breath of fresh air.,process,positive
3125,the insurance was very easy and quick to buy.very competative price with everything you could need i would recommend axa and will look to buy from them again,axa,positive
3126,Excellent service clear information highly recommended.,service,positive
3127,AXA always give me a very competitive price on my annual car insurance renewal and the assistance they provided today further proved their great service standards.,car insurance,positive
3128,Shame I can't say the same about car insurance service!,car,negative
3129,Very patient advisor no query was too much trouble,patient,positive
3130,Very easy process to organise travel insurance,insurance,positive
3131,Purchased my car insurance and saved over Â£30 compared to my renewal with my old company.,car insurance,positive
3132,Excellent service easy to follow website insurance sorted,website,positive
3133,Easy to do online and very quick no problems,problems,positive
3134,So far so good easy to insure with axa you are treated as a person and not a category also the cost actually rewards good drivers,drivers,positive
3135,Great service over the phone information put across very well by a friendly individual.,service,positive
3136,Fair price for a fair product proof will be if i need to claim hopefully not!,claim,negative
3137,Considering other insurers were quoting me upwards of Â£3000 I found AXA to have relatively cheap prices at just over Â£1500 for the year.,prices,positive
3138,Price was good Web site was easy to fill in and quickness of policy details and insurance certificate coming through was superb,insurance certificate,positive
3139,Chris from sales was a 5 star for his service and straight talk no BS no sales just factual.,service,negative
3140,Excellent service and very good value for money.,value,positive
3141,Fab service friendly helpful and above all great deal!,service,positive
3142,Excellent service easy to follow the various stages.,service,positive
3143,good service easy to use competitive price.,service,positive
3144,Nothing was too much trouble and everything sorted quickly.,trouble,negative
3145,so do better by not paying for this useless review service and stop giving out your customers information to these useless review services,review services,negative
3146,I used a comparison website to see who was cheapest and axa was I gave them a call I didn't have the funds at the time so they gave me a call back on the day that I could make the payment and it was so quick and easy.,funds,positive
3147,Excellent customer service everything was dealt with very quickly and my husbands new bike was here in days.,customer,positive
3148,There was no mention of providing proof of claims before playing.,mention,positive
3149,Easy to complete swift reply.documents online.NCD sent via email all completed on same day,documents,positive
3150,i'd actually like to make a complaint if possible please i spoke to someone called joe and he went to put me on hold while he asked a question and accidentally didn't he then loudly said \,complaint,negative
3151,I cancelled the policy and will never use AXA again,policy,negative
3152,- spent 30 minutes of my valuable time because there advisors is considered much more precious.,advisors,positive
3153,Excellent service throughout with an easy and straightforward to use Website.,service,positive
3154,I still managed to purchase my insurance with no problem .... I can't comment on anything other aspects of this company as I'm yet to experience anything but so far so good,aspects,positive
3155,Web site annoying kept sending me in circles.,site,negative
3156,very easy web site to use good policy at a realistic price recommended,price,positive
3157,I rang the call centre as well to check some detail on the policy the person I spoke to was so helpful.,policy,positive
3158,Yet there was some problems with understanding what some buttons will actually do as two of them had about the same name but linked to a different section of site.,buttons,negative
3159,Just what a new customer who is switching insurers needs.,insurers,positive
3160,Excellent price thank your axa,price,positive
3161,Great easy to use service and fantastic to be able to alter my own documents when required...,service,positive
3162,I had a fantastic customer experience today they answered my call promptly and Were friendly and helpful.,customer experience,positive
3163,Competitive price All available on line immediately so no having to wait on the post for proof of insurance.,line,negative
3164,Really happy with the customer service I received when taking out my policy.,service,positive
3165,A quick quote -- obtained from a well laid out website.,quote,positive
3166,Very easy to purchase a policy and add medical history,policy,positive
3167,the only really annoying thing was that you could not save your answers or come back to the quote later.,answers,negative
3168,please keep in mind that not everyone is so much experienced with insurance policies.,mind,negative
3169,Good and clear on the phone helpful comments and good rates.,rates,positive
3170,easy to navigate website had to phone AXA as I could not print policy due to an error which was quickly dealt with,website,positive
3171,Easy to buy AXA car insurance online and get a competitive price.,price,positive
3172,My telephone query was responded to courteously and factually resulting in me purchasing the home insurance policy .,insurance policy,positive
3173,Vary helpful asked if my car needed repairs could this be done locally to me my previous insurer wanted to send my car over 120 miles away!,repairs,positive
3174,I was very satisfied with the service I receive over the phone and I was given all the information I required,service,positive
3175,The site was easy to manoeuvre and information provided was thorough.,site,positive
3176,Excellent service I had my insurance quote in a few minutes.,service,positive
3177,My telephone call was dealt with promptly with very little delay in answering.,telephone,negative
3178,They offered the best price for my car insurance and there customer service was exceptional too.,service,positive
3179,The service given was excellent and as a previous customer I trust in 2017\nyou are not going to increase your car insurance and drive me away to\nanother insurance company at the moment you are very competitive.,service,positive
3180,The fact I then had to call and go through the exact same process was a waste of my time and a clear underhanded effort for the company to try and sell more products.,process,negative
3181,Ironically I was in the process of confirming my order and had question which he was able to help me with.,process,positive
3182,Easy to use site great price for insurance and extras,site,positive
3183,Fantastic friendly & professional customer service with great prices too!,customer service,positive
3184,I called to cancel the policy (which wasn't due to begin for 2 weeks) and was charged £25 to cancel.,policy,negative
3185,It's not clear if you mean the age you are now or the age you are when cover starts and if when it becomes apparent the back button does not work and you have to go through the whole process again so a bit annoying.,process,negative
3186,Because the person I spoke with was not listening he has put information on the form which I did not give. . . After I had paidin fullthe company said I had to pay another £96 + £30 to change the detailswhich was the fault of the guy who took my details . . . Had he been listening to me instead of concentrating  getting a sale he'd have known what I was saying instead of ripping me of . . .RIPPED,fault,negative
3187,More information could be available about No Claims Discount at the time of inputting this information  of instead of reading it later on in the application.,information,negative
3188,Great experience all round got good value for all my family.,experience,positive
3189,spoke to a very knowledgeable and polite young lady and within 10minutes she had provided us with a competetive annual travel insurance policyincluding known medical conditions which we were happy to progress.,insurance policy,positive
3190,I had to talk to 4 people to get a quotenumber is not free for me to use I need standard land line numbers or o800,people,negative
3191,Excellent service so far and live the price,price,positive
3192,Having been insured by Axa travel over the last year and having had no claims I did get a better quote (about 185 GBP).,quote,positive
3193,Your website is pretty easy to use particularly for declaring pre-existing medical conditions.,website,positive
3194,excellent customer service very very easy and quick to sort out my car insurance and documents sent very rapidly,service,positive
3195,Very friendly staff member who was very clear and helpful in the advise he gave.,staff,positive
3196,Superb hassle free service with excellent customer service.,service,positive
3197,All details clearly explained and any queries dealt with operator took time to repeat any items which i didn't  hear properly.,operator,positive
3198,The claim was settled quickly and their staff were very helpful at all times.,staff,positive
3199,The quote that I got online was very clear in explaining what type of cover I had and how much.,quote,positive
3200,Disappointed that I could not renew my policy all on lineas it would not accept my car registration so had to phone thus costing Me more money and time.Although the sales person was very helpfulbut still inconvienent.,registration,negative
3201,h. samuel is not a particularly nice jewellers.,jewellers,negative
3202,Appalling never contact this company absolute rip off !!!,contact,negative
3203,i am sorry to complain but i cannot access my policy acccount from last year it says my details are incorrect if that is the case how did i receive a reminder to renew this i don't want to do as i have bought another vehicle which i have now insured with you and i cant access this either,details,negative
3204,Your Web site is quite useless and unresponsive when trying to register.,site,negative
3205,Although cheap Axa insurance is so difficult to obtain via their purchasing portal.,insurance,negative
3206,Advisor Sue was excellent thorough patient and made sure that all bases were covered.,advisor,positive
3207,I used a comparison website which recommended axa giving a saving of Â£110 per year for the same cover as my previous insurer.,axa,positive
3208,Easy to use web site and good value car insurance,web site,positive
3209,I spoke to two different members of staff and they were most helpful and patient which resulted in our purchaseing our travel Insurace at a competitive price.,staff,positive
3210,Very easy to buy and a good price from a reputable company,price,positive
3211,\n\nThis morning I received an email that I had to register.,email,positive
3212,Site was easy to use and the price was right.,price,positive
3213,The operator was friendly helpful and though reading the legal clauses took a while this was done cheerfully and speedily as she could  tell from my  replies that I just wanted to agree to everything as nothing changes year on year in regard to legal formalities.,changes,positive
3214,Quick and efficient service changing over from another Broker that was about to charge me Â£530 as against your Â£368.,service,positive
3215,I had to call axa about my ncd and Sarah was very helpful and answered all of my questions very professionally with a friendly manner many thanks.,axa,positive
3216,Competitive price comprehensive policy and uk based helpdesk were reasons for choosing this provider.,provider,positive
3217,All on line procedure to renew my insurance went very smoothly and quickly which is important to me as I do not have time to spare with lots of telephone questions.,questions,negative
3218,I renewed my insurance this year with axa because of the amazing customer service I received from Phil Dobson in claims.,customer service,positive
3219,got the cheapest quote and didnt ask me 3 million questions like the comparison websites!,quote,positive
3220,clear information with a friendly member of the team.,team,positive
3221,sales person helpful but the on line service is time consuming for me confusing and while i have down loaded certificate and registered your site persists in not regognising me and i have not been able to fiund any policy conditions.,site,negative
3222,Very pleased with there service no hassle just got on and done brilliant,service,positive
3223,Good price very quick website access (via Confused.com) which is often not the case when using intermediaries & very good follow up service when I raised a query.,website,positive
3224,renewed my insurance online with no problem and a good price,insurance,positive
3225,I just hope that you reward loyalty and that I don't  have to change provider again next year.,loyalty,positive
3226,I had to ring a couple of times after purchasing my car insurance just to confirm a few small details and the staff were very very helpful and polite.,car insurance,positive
3227,Best price and good service from the telephone sales person,sales person,positive
3228,Easy to use web site best quote and lowest excesses found on the internet.,web site,positive
3229,Would have been exceptional but no counter offer made on breakdown cover,offer,negative
3230,I have rated the service as poor because there is nothing between 'Good' and 'Poor'.,service,negative
3231,site easy to use even for an old guy like me (78) did not like it telling me my \,guy,negative
3232,I am unable to print car certificate as you are having problems,problems,negative
3233,Very polite speedy response not long winded and money in bank by next day enabling me to buy a very upset boy a replacement bike.,bike,positive
3234,have got the car insurance sorted however i cant access my account inline to download any documents,car,negative
3235,the person in sales (rachel) was very helpful indeed - i had problems with getting temp cover via the axa website (very frustrating and didn't work for the first axa person i spoke to also because of points system used on car evaluation! ),points system,negative
3236,Extremely friendly professional and reassured that I had made the right choice in switching car insurance.,insurance,positive
3237,"we hope to not use the call centre until renewal next year but have already got peace of mind that if the worst happens,",mind,negative
3238,Easy website and secure payment.,website,positive
3239,jade gave me precise details of policy & terms.,terms,positive
3240,Had trouble logging in and took an hour to sort out,trouble,positive
3241,Very easy to understand website everything that was extra on the policy was detailed out for you and you had a clear choice of whether to add them or not at the end of the purchase there was a link to print out your insurance document as well.,purchase,positive
3242,Good price and smooth online transaction,online,positive
3243,I am quite satisfied with the attention I received and the price quoted.,attention,positive
3244,Bought car insurance price was ok they weren't too pushy & gave me the time I needed to get my online proof of NCD without trouble.,proof,positive
3245,They were to slow to pay out on the car didn't give good up dates and my insurance as gone up 50% for a no fault accident,fault,negative
3246,However I am struggling to send a copy of my \ Proof of No Claims Bonus\  from \ One Call Insurance\  as an email attachment.,email,negative
3247,easy to obtain cover at what appears to be a very competitive premium.,cover,positive
3248,Excellent customer service they gave me the correct information in order to amend my policy without incurring extra charges.,customer service,positive
3249,Phoned up their customer care service regarding a query about proof of no claims bonus and found the representative very helpful in sorting things out for me.,service,positive
3250,Purchased house insurance online very easy and good price.,insurance,positive
3251,contact staff went into detail regarding policy - sent proof of ncb but never recived response back which i would have thought would occur.,policy,negative
3252,First class service from keen staff with no gimmicky sales talk or pressure.,service,positive
3253,massive increase in premium over last year reasonable website to buy although the summary did not match the details i had entered and i couldnt point that out - if they come back wanting more money i wont be pleased why do you have to register for a website you probably wont want?,details,negative
3254,Price was therefore competitive and would use them again until their price is not competitive.,price,positive
3255,Quick prompt answer with uk call centre and best price in market.,uk,positive
3256,Excellent customer service from your representative didn't take too long to complete the process and explained well.,representative,positive
3257,Spoke to a member of staff as had problem registering to print documents extremely helpful and patient she is a credit to your company,staff,positive
3258,Quick easy to use quality product at a good price,price,positive
3259,Confused best sums up my feelings had a quote from AXA but felt that A Â£100+ increase was not merited so went to compare site and found a quote from same company Â£115 cheaper based on same details - why?,quote,negative
3260,Excellent service very competitive prices,prices,positive
3261,Looking for home insurance for my mother and axa saved her 180 pounds compared to her renewal from Barclay's bank \nNice and easy with axa easy site to use \nThank you axa,axa,positive
3262,Very user friendly website.,website,positive
3263,Easy to use shame about the service charge for using credit card nearly put me off and going to another insurance company.,service,negative
3264,No claims discount proof was not easy to send automatically and the website just bounces you back to the point where you enter the details!!!,claims discount,negative
3265,So a mistake was made with my subsequent choice of repair,mistake,negative
3266,Good rates good website \nQuick & easy,rates,positive
3267,\  in frustration at my question which really wasn't professional at all.,question,negative
3268,I could not get the system to accept new entries.,system,negative
3269,\nVery competitive price compared to other leading insurance companies.,insurance companies,positive
3270,Simple straight forward took 5 mins to complete downloaded and printed all documents,documents,positive
3271,The way the process was structured made it easy to follow what information was needed and walked me through the steps.,information,positive
3272,Fantastic service friendly representatives and quickly resolved,service,positive
3273,Ease of online navigation clear and concise information and crucially at the right price.,navigation,positive
3274,and I have no intention of creating an account I know that my car is insured and it says so on the insurance database so I won't bother wasting my timeSecondly why all the diatribe about about financial services.,services,negative
3275,The strength and merits of any insurance is in the service and procedure you receive when you invoke the claims procedure.,procedure,positive
3276,Easy payment methods handled over the phone via up to date technology and emailed confirmation waiting for you as soon as you finalise your call.,technology,positive
3277,Good access on telephone sealed the deal clear instructions and guidance to follow.,deal,positive
3278,I have no complaints at all   quite the opposite in fact    very helpful   and very polite   cant ask for more than that now.....................,complaints,positive
3279,The service is good but the charge for using a credit card is un-just.,service,positive
3280,Renewal cost was higher than last year search on their own web site gave lower cost for new policy \ Customer Service\  were unable to match this!!!,year,negative
3281,Payment on website was a bit confusing as I couldn't work out how to change from monthly to single payment once I'd left first page.,payment,negative
3282,The price was very competitive me and my husband saved Â£300+ between us compared to quotes from previous insurer.,price,positive
3283,had no problems using there service very well layed out.,problems,positive
3284,Using the online service in AXA during buying car insurance is very simple and quick.,insurance,positive
3285,Friendly and professional staff got all the information .,information,positive
3286,The only thing was I would like to have had more information in terms of correspondence - either by text e mail or letter rather than simply phone calls as it is easy to get confused when dealing with 3 separate claims and 2 companies - Insurers AND Loss adjusters.,companies,positive
3287,Everything was fine until I was asked to fill in my email address and password as my husband already has car insurance with AXA and we use the same email address it wouldn't accept a password so now I don't know how I will be able to access my home insurance paperwork.,car insurance,negative
3288,Used a price comparison website so no dealing with AXA themselves,website,negative
3289,the online payment didn't work so had to call!,payment,negative
3290,Spoke on the phone to a very helpful ladyshe talked through the policy and answered my questions .,questions,positive
3291,Easy to follow instructions that left no doubt about what services you were getting,services,positive
3292,Just need to call as having trouble registering.,trouble,negative
3293,Paul the advisor took me through everything in detail and answered all my questions and explained everything really well.,questions,positive
3294,Purchased single trip travel insurance for USA but had problems accessing the policy as my  account only showed my annual multi - trip policy  Europe.,account,negative
3295,i was very pleased with my purchase of my car insurance no hastle everything was straight forward i have posted proof of my no claims bonus and you saved me Â£80 so i thankyou for your stress free service Mr C Baxter .,service,positive
3296,Best insurance website on the market quick simple easy to use with the best prices around .,prices,positive
3297,First time with AXA first class service and price excellant,class service,positive
3298,The chap I spoke to Paul  halliwell came over confident and had all the answers   very nice chap,chap,positive
3299,i will not be recommending you and will actively tell my friends and colleagues about the experience i have had with your company.,company,negative
3300,My internet experience was not good as my debit card details.,debit,negative
3301,My own company then decided to cancel my policy due to end April 2016.,policy,positive
3302,Terrible service and a dis satisfied customer.,service,negative
3303,initially they handled the claim well however when i was having difficulty with the loss adjusters they didn't help or call me when they had said they would.,difficulty,negative
3304,Clear and easy screens to fill out with most of the exclusions and excesses in the main body - extra discounts and the best product at a good inclusive price for the reasons that you would need insurance,price,positive
3305,\nHaving agreed a settlement I was pleasantly surprised to find the sum had been credited to my bank account the following day.,account,positive
3306,Website service was very poor so I had to call to buy car insurance,service,negative
3307,Changing car insurance has always filled me with dread.,car,negative
3308,A little disappointed that on line quote was different from call quote,line,negative
3309,No ridiculous questions straight forward to do online,online,negative
3310,Website easy to navigate and quote was by far the most competitive for the insurance cover required.,cover,positive
3311,East to use website clear and detailed information.,website,positive
3312,good telephone process let down by the fact that the e mail address would not receive the proof of bonus kept coming up as an error,e mail address,negative
3313,Very easy to use web site with good competitive prices,prices,positive
3314,First class product at a realistic price,price,positive
3315,All done on Website would have expected a little discount due to the fact that I had an account with other insurances.,website,negative
3316,Great quotation prices with better premium offer.,prices,positive
3317,I was very happy with the service I got very helpful plesent polite nothing too much trouble giving me a great deal on car insurance.,service,positive
3318,I liked how you could immediately see the changes to price when selecting additional services and amending excess amount.,changes,positive
3319,We're not daft .... the flimsy excuse that it ensures continuation of cover is ... well ... bit pathetic.,cover,negative
3320,Excellent service and brilliant claims process have been looked after very well,claims process,positive
3321,I phoned on a Friday to make a claim against loss.,claim,negative
3322,Just getting proof of no claims is the problem,claims,negative
3323,Good value for money for a maximum cover - includes all extras.,cover,positive
3324,Very swift service with detailed walk-through,service,positive
3325,I was speaking to Adam who helped me take out my car insurance he was very professional throughout the call and explained everything in detail I was very happy with the service that was provided and would recommend axa to other family and friends.,axa,positive
3326,Payed over internet and then received a call from AXA who said we can beat that price also unable to discuss insurance details due to wanting to speak to policy holder first no other insurance company does this if you are named on the policy they are happy to discuss FRUSTRATINÂ¡!!!,insurance company,negative
3327,Bad bad bad.I really regret my purchase but it's too late now.,purchase,negative
3328,The application for car insurance was strait forward.,application,positive
3329,The service was good and easy to understand the only thing I didn't like is all paper work has to be printed off nothing is sent through the post .,service,positive
3330,Spoke to two different members of staff when insuring both my cars....both were superb and I genuinely cant complain (which is rare when speaking about insurance companies)...many thanks,insurance companies,positive
3331,customer service very helpful but have still not been able to access my insurance details via link would be better if sent like they used to,link,positive
3332,Staff member was friendly and aware of what benefits were available to me as an existing customer.,member,positive
3333,Bought through a comparison website MUCH better price than my current for a better level of cover.,price,positive
3334,Fair enough I had a afew knocks in my first year but I express minor bumps nothing reckless no convictions no points yet I was being quoted 678times the value of my car.,value,positive
3335,However I was disappointed to find that the whole year payment has been debited from my account 6days before the policy start date !,payment,negative
3336,Stop your systems \ correcting\  surnames with upper case letters in the middle.,systems,negative
3337,The website was easy to use and the purchase process was quick and straight forward.,process,positive
3338,\nIt's a great pity that many others do not have her professional  attributes to get the job done!,job,positive
3339,it wasn't the cheapest option but i looked through all the other insurance companies listed that were cheaper and came to find that although they were cheaper customer service the service they provided didn't compare to axa!,service,negative
3340,Automatically renewed easy to do but had plenty of warning that if I didn't contact you it would automatically renew!,contact,negative
3341,really easy website to buy insurance from.,website,positive
3342,Crazy that a new policy is cheaper than moving the existing when moving home by £200,policy,negative
3343,I rang a few companies for quotes AXA was by far the best and very straight forward considering I have health problems.,problems,positive
3344,Exactly what was asked for good service friendly helpful staff,staff,positive
3345,A long laborious telephone conversation with a fast speaking sales person difficult to understand who towards the end told me I could have bought my car insurance on line thus avoiding the telephone call.,phone conversation,negative
3346,I found the website relatively easy to use and then when I needed to follow a few things up your staffmember on the phone was courteous and helpful.,website,positive
3347,policy now purchased but not showing when i log into account ( i have car insurance already ) so i cannot print docs.,account,negative
3348,plus an additional driver there is an enormous cost,driver,negative
3349,when i went to carry out the payment on the monday the price was much greater than the friday so i spoke to kevin at axa who was more than helpful he could not get the price down as low as i originally been misquoted but was lower than the 2nd quote and i was happy with how this was dealt with.,quote,negative
3350,I was quite happy with the original quote but upset that you added Â£100 because someone had run into the back of me in 2014 and I have been punished for it.,quote,positive
3351,I thought Axa delt with my claim so professional and  really efficant excellent insurence company.,company,positive
3352,The travel insurance website is STILL broken.,website,negative
3353,Wouldn't accept my credit card details,credit,negative
3354,Friendly but not condescending clear explanation of terms and conditions.,explanation,negative
3355,Very clear website making it easy to see what services and additions are available to the policy.,services,positive
3356,I was upset enough without being asked questions on wether I or a member of my household had any criminal record or did I have lodgers had I left the house unlocked.,house,negative
3357,Excellent customer service great price have three cars now insured with AXA,customer service,positive
3358,The cost was a lot lower than my renewalprice.,cost,positive
3359,Completed my purchase online which was a straight forward process it provided me with an online log on in order to download my policy document however when logged on it states that there is an issue with my account and no documents are available to view.,log,positive
3360,Surprise surprise they offered a very good reduction compared to the original renewal cost.,cost,positive
3361,This in no way suggests any of the other people are any less helpful Iit is just how I found my particular contact.,people,positive
3362,easy to understand website used axa with my own insurance and it is good value for money so I am putting my wifes car with axa,axa,positive
3363,Good price and purchased insurance over telephone the call was so easy and good clear English voice very helpful and quick,price,positive
3364,fed up with online accountmy wife and I are both with axa and use my email address as my wife doesn't have an email addres and I can't get on her account page as it doesn't recognise her password only my password even though I set it up with anassistant at axaget this sorted as it pisses me off.,axa,positive
3365,person was very helpful answering some queries about a few problems and explained everything simple and concisely.,problems,positive
3366,unfortunately felt i had to cancel the problem being that i couldn't get to read the policy as there is no download available and therefore i was buying blind yours j grundy,download,negative
3367,Excellent customer service best insurance rates easy to deal with can't really fault them!,rates,positive
3368,\n\nThank you axa top company,company,positive
3369,Excellent fast quote  purchased within minutes online  my 2nd axa policy  great customer service with easy access to everything online,policy,positive
3370,Pleased with the fast efficient easiness of doing this whilst also lowering my payments,payments,positive
3371,nice easy transaction and you not the company decide what extras you want to add to the basic policy would buy from them again if the price was right,price,positive
3372,This is the first time I have had to make a claim I was very surprised at how helpful the call handlers are and how simple they made the process.,time,positive
3373,The service was first class today you don't get that from many companies these day would recommend people to try you,class,positive
3374,Quick and simple process being able to manage your details and account online is a bonus.,process,positive
3375,everything was fine not much to write about thank you i would use you again next year if the price is right and not going out like every other insurances,insurances,negative
3376,Everything was done online comprehensive questions & a good price,questions,positive
3377,Very pleased with service good price easy transaction.,price,positive
3378,No nonsense and very simple  process the telesales staff were extremely helpful and made the the whole transaction  a doddle.,telesales,positive
